optimizer,epoch,sampled_arch,best_arch,train_acc,val_acc,test_acc,train_time,reward,loss,entropy,wall_time_sec
random,1,"(4, 4, 3, 0, 3, 4)","(4, 4, 3, 0, 3, 4)",87.0400000024414,80.24,80.24,9.193052669366201,0.8024,,,0.028672000000000253
random,2,"(2, 1, 0, 1, 3, 2)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.9007,,,0.05112591700000024
random,3,"(4, 1, 2, 0, 1, 3)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.8835999999999999,,,0.07347720899999999
random,4,"(1, 3, 3, 4, 1, 1)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.8559,,,0.09589829200000022
random,5,"(1, 2, 4, 2, 0, 4)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.8458,,,0.11792395900000008
random,6,"(3, 1, 0, 1, 0, 4)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.8642,,,0.140074292
random,7,"(1, 4, 2, 4, 1, 0)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.8698,,,0.16265075000000007
random,8,"(0, 3, 2, 1, 1, 3)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.8855,,,0.18522024999999998
random,9,"(4, 2, 1, 0, 2, 4)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.8236,,,0.20806154200000027
random,10,"(2, 3, 0, 4, 0, 4)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.8851,,,0.2308290839999998
random,11,"(4, 3, 2, 4, 1, 4)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.8540000000000001,,,0.3456717920000001
random,12,"(4, 3, 4, 1, 1, 0)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.8495999999999999,,,0.36851029199999985
random,13,"(2, 4, 0, 3, 0, 2)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.8959,,,0.39124708399999975
random,14,"(1, 2, 4, 1, 2, 4)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.847,,,0.41360675000000047
random,15,"(0, 4, 1, 2, 1, 2)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.8656999999999999,,,0.4362345420000002
random,16,"(2, 0, 4, 1, 0, 0)","(2, 1, 0, 1, 3, 2)",99.96,90.07,90.07,9.517105658849081,0.8432999999999999,,,0.458944292
