optimizer,epoch,sampled_arch,best_arch,train_acc,val_acc,test_acc,train_time,reward,loss,entropy,wall_time_sec
re,1,"(4, 0, 3, 3, 3, 1)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8681,,,0.06237816700000032
re,2,"(3, 2, 4, 0, 0, 4)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8473999999999999,,,0.12261841699999998
re,3,"(2, 1, 0, 1, 1, 0)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8401000000000001,,,0.18236458300000002
re,4,"(1, 4, 3, 0, 3, 0)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8436,,,0.356004333
re,5,"(2, 3, 0, 1, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.9020999999999999,,,0.41550449999999994
re,6,"(3, 0, 1, 1, 1, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8439,,,0.4762310420000002
re,7,"(2, 4, 3, 3, 2, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8802,,,0.5365590830000002
re,8,"(2, 0, 0, 4, 0, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8298000000000001,,,0.5957077919999998
re,9,"(1, 4, 1, 2, 2, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.7182,,,0.7818714170000005
re,10,"(2, 3, 0, 3, 4, 1)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8815999999999999,,,0.841657208
re,11,"(2, 4, 3, 4, 4, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8367,,,0.9012457500000002
re,12,"(3, 4, 4, 4, 0, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.7868,,,0.9617061250000001
re,13,"(3, 2, 0, 1, 1, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8962,,,1.0216967920000002
re,14,"(0, 0, 1, 2, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8782,,,1.0822557919999998
re,15,"(0, 3, 2, 2, 0, 1)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8875,,,1.2940475000000005
re,16,"(0, 2, 2, 3, 2, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8952,,,1.3534162920000004
re,17,"(2, 1, 2, 3, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8954000000000001,,,1.4127511249999998
re,18,"(2, 3, 4, 1, 2, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8917,,,1.4728319169999997
re,19,"(1, 2, 1, 4, 2, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8713,,,1.5329889579999998
re,20,"(0, 3, 2, 3, 0, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8818,,,1.5932323750000004
re,21,"(0, 3, 2, 3, 0, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8875,,,1.65362075
re,22,"(0, 0, 2, 3, 2, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8915000000000001,,,1.8870221670000005
re,23,"(0, 0, 0, 3, 0, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8475,,,1.9472114999999999
re,24,"(2, 0, 4, 3, 4, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8559,,,2.007285833
re,25,"(4, 3, 3, 4, 1, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8678,,,2.0660577920000005
re,26,"(0, 0, 0, 1, 0, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.6429,,,2.128950625
re,27,"(1, 3, 1, 0, 0, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8269,,,2.1891152080000005
re,28,"(3, 3, 1, 0, 0, 1)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8539,,,2.2479137920000003
re,29,"(2, 0, 3, 1, 1, 4)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8533,,,2.509345667
re,30,"(0, 0, 3, 2, 3, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8965000000000001,,,2.569400667
re,31,"(1, 0, 3, 2, 3, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.89,,,2.6296667080000002
re,32,"(0, 0, 3, 1, 3, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8904000000000001,,,2.687872958
re,33,"(2, 2, 2, 3, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8981,,,2.745953417
re,34,"(0, 0, 3, 1, 3, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8904000000000001,,,2.804688292
re,35,"(2, 1, 2, 3, 3, 0)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8941,,,2.863766292
re,36,"(2, 0, 2, 3, 3, 3)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.9009,,,2.922306958
re,37,"(0, 0, 3, 1, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.8808,,,2.9841830830000005
re,38,"(2, 3, 0, 3, 4, 2)","(2, 3, 0, 1, 3, 3)",99.964,90.21,90.21,10.839458545049032,0.9012,,,3.276454167
re,39,"(2, 3, 0, 2, 4, 2)","(2, 3, 0, 2, 4, 2)",99.996,90.38,90.38,12.74846355120341,0.9037999999999999,,,3.3356594170000005
re,40,"(2, 3, 0, 2, 4, 1)","(2, 3, 0, 2, 4, 2)",99.996,90.38,90.38,12.74846355120341,0.8779,,,3.394386292
re,41,"(3, 3, 0, 2, 4, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.909,,,3.4523269580000004
re,42,"(2, 3, 0, 2, 4, 4)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.9003,,,3.510419583
re,43,"(0, 3, 0, 2, 4, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8587,,,3.5691637500000004
re,44,"(2, 3, 0, 2, 0, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.9078,,,3.627306667
re,45,"(3, 3, 0, 2, 4, 0)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8924,,,3.6858910830000005
re,46,"(2, 3, 1, 2, 0, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8943000000000001,,,3.745067583
re,47,"(2, 3, 0, 2, 0, 3)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.9079999999999999,,,4.071969667
re,48,"(3, 3, 0, 2, 4, 0)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8924,,,4.130539042
re,49,"(2, 3, 0, 2, 0, 1)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8828,,,4.188051708
re,50,"(4, 3, 0, 2, 0, 2)","(3, 3, 0, 2, 4, 2)",99.984,90.9,90.9,12.176835040251413,0.8613,,,4.246911875
bananas,1,"(4, 0, 3, 3, 3, 1)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8681,,,0.05681412499999983
bananas,2,"(3, 2, 4, 0, 0, 4)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8473999999999999,,,0.11329441699999965
bananas,3,"(2, 1, 0, 1, 1, 0)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8401000000000001,,,0.17041262499999998
bananas,4,"(1, 4, 3, 0, 3, 0)","(4, 0, 3, 3, 3, 1)",99.116,86.81,86.81,9.658029774824778,0.8436,,,0.22789787499999914
