optimizer,epoch,train_acc,val_acc,test_acc,train_time,wall_time_sec,best_arch
re,1,99.116,86.81,86.81,9.658029774824778,0.03822133300000008,"(4, 0, 3, 3, 3, 1)"
re,2,99.116,86.81,86.81,9.658029774824778,0.07564887500000017,"(4, 0, 3, 3, 3, 1)"
re,3,99.116,86.81,86.81,9.658029774824778,0.11314258300000013,"(4, 0, 3, 3, 3, 1)"
re,4,99.116,86.81,86.81,9.658029774824778,0.1509710000000002,"(4, 0, 3, 3, 3, 1)"
re,5,99.964,90.21,90.21,10.839458545049032,0.18925070800000032,"(2, 3, 0, 1, 3, 3)"
re,6,99.964,90.21,90.21,10.839458545049032,0.3430528330000002,"(2, 3, 0, 1, 3, 3)"
re,7,99.964,90.21,90.21,10.839458545049032,0.3802337499999999,"(2, 3, 0, 1, 3, 3)"
re,8,99.964,90.21,90.21,10.839458545049032,0.4184927919999999,"(2, 3, 0, 1, 3, 3)"
re,9,99.964,90.21,90.21,10.839458545049032,0.456091083,"(2, 3, 0, 1, 3, 3)"
re,10,99.964,90.21,90.21,10.839458545049032,0.4953660420000001,"(2, 3, 0, 1, 3, 3)"
re,11,99.964,90.21,90.21,10.839458545049032,0.5337934580000003,"(2, 3, 0, 1, 3, 3)"
re,12,99.964,90.21,90.21,10.839458545049032,0.5707574580000006,"(2, 3, 0, 1, 3, 3)"
re,13,99.964,90.21,90.21,10.839458545049032,0.6091041250000004,"(2, 3, 0, 1, 3, 3)"
re,14,99.964,90.21,90.21,10.839458545049032,0.6469942500000001,"(2, 3, 0, 1, 3, 3)"
re,15,99.964,90.21,90.21,10.839458545049032,0.8244423329999999,"(2, 3, 0, 1, 3, 3)"
re,16,99.964,90.21,90.21,10.839458545049032,0.8630296249999998,"(2, 3, 0, 1, 3, 3)"
re,17,99.964,90.21,90.21,10.839458545049032,0.9012073749999998,"(2, 3, 0, 1, 3, 3)"
re,18,99.964,90.21,90.21,10.839458545049032,0.9396444169999998,"(2, 3, 0, 1, 3, 3)"
re,19,99.964,90.21,90.21,10.839458545049032,0.9782791249999998,"(2, 3, 0, 1, 3, 3)"
re,20,99.964,90.21,90.21,10.839458545049032,1.016922583,"(2, 3, 0, 1, 3, 3)"
re,21,99.964,90.21,90.21,10.839458545049032,1.054918125,"(2, 3, 0, 1, 3, 3)"
